Item Code,Item Name,Artikelbeschreibung,Listenpreis,Währung für Listenpreis,EAN Code
A2148-H,Querlenker oben & Zubehörteile (hart),Querlenker oben & Zubehörteile (hart),6.8,EUR,4944925901737
A2148,UPPER ARM+PARTS,Querlenker oben & Zubehörteile,5.5381999999999998,EUR,4944925040528
A2148,Querlenker oben & Zubehörteile,Querlenker oben & Zubehörteile,5.5381999999999998,EUR,4944925040528
A2149,UPRIGHT,Radträger,12.86,EUR,4944925040535
A2150,UPRIGHT LEVER,Lenkhebel (Radträger),9.1199999999999992,EUR,4944925040542
A2151,UPPER DECK (2mm),Oberdeck (2mm Standard),23.3032,EUR,4944925040559
A2152,UPPER DECK (1.6mm),"Oberdeck (1,6mm Optional)",20.713999999999999,EUR,4944925040566
A2153/105,ANTI-ROLL BAR (φ1.05mm),"Stabilisator (1,05mm)",4.68,EUR,4944925045233
A2153/10a,ANTI-ROLL BAR (φ1.0mm),"Stabilisator (1,0mm)",4.68,EUR,4944925045165
A2153/115,ANTI-ROLL BAR (φ1.15mm),"Stabilisator (1,15mm)",4.68,EUR,4944925046414
A2153/11a,ANTI-ROLL BAR (φ1.1mm),"Stabilisator(1,1mm)",4.68,EUR,4944925045172
A2153/12a,ANTI-ROLL BAR (φ1.2mm),"Stabilisator(1,2mm)",4.68,EUR,4944925045189
A2154,ANTI-ROLL BAR MOUNT,Stabihalter,11.0761,EUR,4944925040603
A2155,ANTI-ROLL BAR LINK BALL,Kugel (StabilisatorVerbindung),3.96,EUR,4944925040610
A2156,ARB BALL LONG SHAFT,Kugel für Stabibefestigung am Querlenker hinten,4.2348999999999997,EUR,4944925040627
A2158,BRACE UPPER DECK,Verstrebung Oberdeck/Bulkhead,5.0007999999999999,EUR,4944925040641
A2159,2PC UPPER DECK ( 1 pcs ),Chassis Oberdeck 2Teilig ( 1 Stk.),10.1538,EUR,4944925041419
A2160,2PC UPPER DECK SCREW,Chassis Oberdeck Schraubensatz,3.2343000000000002,EUR,4944925041426
A2161,UPPER DECK,Oberdeck,23.332000000000001,EUR,4944925041921
A2162,2PC UPPER DECK ( 1 pcs ),Chassis Oberdeck 2Teilig ( 1 Stk.),13.6652,EUR,4944925041938
A2163,CHASSIS FLEX POST,CHASSIS FLEX POST,4.1163999999999996,EUR,4944925041945
A2164,LOWER BULKHEAD,Bulkhead unten,20.547999999999998,EUR,4944925901744
A2165,Querlenkerhalter oben,Querlenkerhalter oben,12.558,EUR,4944925901751
A2166,"Oberdeck (1,6mm Optional)","Oberdeck (1,6mm Optional)",29.75,EUR,4944925901768
A2167F,Querlenker Vorderachse unten (-1mm),Querlenker Vorderachse unten (-1mm),15.307499999999999,EUR,4944925901775
A2169,Lenkhebel (Radträger),Lenkhebel (Radträger),11.631399999999999,EUR,4944925901782
A2170,2PC UPPER DECK ( 1 pcs ),Chassis Oberdeck 2Teilig ( 1 Stk.),17.765000000000001,EUR,4944925901799
A2171A,Aluminum Bulkhead (1),Aluminium Bulkhead (1),19.325500000000002,EUR,4944925912849
A2171B,Upper Arm Ball (2),Kugel für Querlenker Oben (2),13.427,EUR,4944925912856
A2172F,Carbon Front Lower Arm (1),Kohlefaser Querlenker Vorne Unten (1),13.407299999999999,EUR,4944925912863
A2172R,Carbon Rear Lower Arm (1),Kohlefaser Querlenker Hinten Unten (1),13.407299999999999,EUR,4944925912870
A2173F,Front Chassis Ball Brace (1),Chassis Ball Brace Vorne (1),7.9649999999999999,EUR,4944925912887
A2173R,Rear Chassis Ball Brace (1),Chassis Ball Brace Hinten (1),7.9649999999999999,EUR,4944925912894
A2174,"Composite Parts Upper link, Arm insert (Set)",Composite Teile Querlenker Oben (Set),7.3752000000000004,EUR,4944925912900
A2175,Aluminum Upright (1),Aluminium Radträger (1),13.833,EUR,4944925912917
A2176A,Aluminum Front Upright Lever (1),Aluminium Lenkhebel Vorne (1),10.35,EUR,4944925912924
A2176B,Aluminum Front Upright Lever KPA (1),Aluminium Lenkhebel Vorne KPA (1),10.382999999999999,EUR,4944925913372
A2177,Aluminum Rear Upright Lever (1),Aluminium Lenkhebel Hinten (1),8.7937999999999992,EUR,4944925912931
A2178/11,"Anti Roll-bar 1,1mm (1)","Stabilisator 1,1mm (1)",4.5750000000000002,EUR,4944925912948
A2178/12,"Anti Roll-bar 1,2mm (1)","Stabilisator1,2mm (1)",4.5750000000000002,EUR,4944925912955
A2178/13,"Anti Roll-bar 1,3mm (1)","Stabilisator 1,3mm (1)",4.5750000000000002,EUR,4944925912962
A2179/20,Carbon Topdeck 2mm (1),Kohlefaser Topdeck 2mm (1),15.852600000000001,EUR,4944925913389
A2179/22,"Carbon Topdeck 2,2mm (1)","Kohlefaser Topdeck 2,2mm (1)",16.927499999999998,EUR,4944925913396
A2179/25,"Carbon Topdeck 2,5mm (1)","Kohlefaser Topdeck 2,5mm (1)",17.339300000000001,EUR,4944925913402
A2180,Lower Arm Insert O-Ring,O-Ring für Querlenker Einsätze Unten,2.4752000000000001,EUR,4944925913167
A2201,FRONT SOLID AXLE,STARRACHSE VORDERACHSE,16.9163,EUR,4944925035364
A2202,PULLEY 34T / 20T,RIEMENRAD 34Z / 20Z,8.7660999999999998,EUR,4944925035371
A2203-C,BATTERY MOUNT+PARTS,Akkuhalterung & Zubehörteile,13.9932,EUR,4944925041969
A2204A,DIFF CASE R,DIFFERENTIALGEHÄUSE RECHTS ALUMINIUM,15.133599999999999,EUR,4944925035395
A2204B,DIFF CASE L,DIFFERENTIALGEHÄUSE LINKS ALUMINIUM,15.133599999999999,EUR,4944925035401
A2205,DIFF OUTDRIVE (2),DIFFERENTIAL AUSGÄNGE (2),7.3932000000000002,EUR,4944925035418
A2206a,O-RING DIFF CASE (5),DIFFERENTIAL DICHTUNGS SET (5),2.52,EUR,4944925045196
A2207,PULLY ADAPTER,RIEMENRAD ADAPTER,7.7675000000000001,EUR,4944925035432
A2208,FRONT BELT,ANTRIEBSRIEMEN VORNE,8.6562999999999999,EUR,4944925035449
A2209,REAR BELT,ANTRIEBSRIEMEN HINTEN,7.4462999999999999,EUR,4944925035456
A2210,SPUR GEAR SHAF,HAUPTZAHNRAD AUFNAHME,4.8653000000000004,EUR,4944925035463
A2211,FRONT DRIVE SHAFT SET,ANTRIEBSWELLEN SET VORDERACHSE,30.2713,EUR,4944925035470
A2212,FRONT WHEEL AXLE (2),ACHSWELLE VORNE (2),10.390599999999999,EUR,4944925035487
A2213,FRONT DRIVE SHAFT BUSHING FOR PIN (2),HÜLSEN ACHSWELLE VORNE (2),9.8198000000000008,EUR,4944925035494
A2214,FRONT JOINT SHAFT (4),VERBINDUNGSSTÜCK ANTRIEBSWELLE VORNE (4),5.3517999999999999,EUR,4944925035500
A2215,FRONT DRIVE SHAFT (2),RADACHSE STAHL (2),12.793900000000001,EUR,4944925035517
A2216,FRONT DRIVE SHAFT CLIP (10),SICHERUNGSCLIP ANTRIEBSWELLE VORNE (10),7.6321000000000003,EUR,4944925035524
A2217,"WHEEL HUB (5,0MM) (2)","RAD MITNEHMER (5,0MM) (2)",9.5063999999999993,EUR,4944925035531
A2218,REAR DRIVE SHAFT SET,ANTRIEBSWELLEN SET HINTERACHSE,20.409400000000002,EUR,4944925035548
A2219,REAR WHEEL AXLE (2),RADACHSE STAHL HINTEN (2),8.4277999999999995,EUR,4944925035555
A2220,REAR DRIVE SHAFT (2),ANTRIEBSWELLE HINTEN (2),10.390599999999999,EUR,4944925035562
A2221a,DRIVE SHAFT BLADE (4),ANTRIEBSWELLEN KLINGEN (4),3.96,EUR,4944925045202
A2222,DIFFERENTIAL SET,DIFFERENTIAL KOMPLETT,54.695500000000003,EUR,4944925035586
A2223,BELT TENSIONER SET,RIEMENSPANNER SET,15.603300000000001,EUR,4944925035593
A2224,AL. REAR WHEEL AXLE (2),RADACHSE HINTEN ALUMINIUM (2),8.2921999999999993,EUR,4944925035609
A2225,"WHEEL HUB (4,5MM) (2)","RAD MITNEHMER (4,5MM) (2)",10.5136,EUR,4944925035616
A2226,AL. PULLEY 20T,RIEMENRAD ALUMINIUM 20Z,12.831899999999999,EUR,4944925035623
A2227,"SHIM SET 3X5X0,2 (10)","ZEHNTELSCHEIBEN SET 3X5X0,2 (10)",4.2348999999999997,EUR,4944925035630
A2228,PIN 2 X 8.8 (10),STIFT 2 X 8.8 (10),3.09,EUR,4944925035647
A2229,PIN 2 X 10.8 (10),STIFT 2 X 10.8 (10),3.3504999999999998,EUR,4944925035654
A2230-B,DIFF GEARS AND CROSS SHAFT,DIFFERENTIAL ZAHNRÄDER INKL. KREUZWELLEN,7.9790000000000001,EUR,4944925037795
A2230-Ba,DIFF GEARS AND CROSS SHAFT,DIFFERENTIAL ZAHNRÄDER INKL. KREUZWELLEN,7.952,EUR,4944925045219
A2230,DIFF GEARS AND CROSS SHAFT,DIFFERENTIAL ZAHNRÄDER INKL. KREUZWELLEN,7.3952,EUR,4944925035661
A2231,SPOOL OUTDRIVE ALUMINIUM,DIFF AUSGÄNGE STARRACHSE ALUMINIUM,10.5031,EUR,4944925036101
A2232,SPOOL OUTDRIVE STEEL (2),DIFF AUSGÄNGE STARRACHSE STAHL (2),10.946899999999999,EUR,4944925036118
A2234a,"S5 O-RINGE (low friction rubber, red) (10)","S5 O-RINGE (low friction rubber, red) (10)",5.4074999999999998,EUR,4944925045226
A2235,PULLEY+PARTS,Riemenräder & Zubehörteile,8.1233000000000004,EUR,4944925040665
A2236,PULLEY-SPUR GEAR ADAPTER,Adapter Hauptzahnrad/Riemenrad,7.7930000000000001,EUR,4944925040672
A2237A,DIFFERENTIAL CASE A,Differentialgehäuse A,17.5914,EUR,4944925040689
A2237B,DIFFERENTIAL CASE B,Differentialgehäuse B,17.5914,EUR,4944925040696
A2238,18T  DIFFERENTIAL MOUNT,Adapter Kegelzahnrad Diff 18T,6.8029999999999999,EUR,4944925040702
A2239,OUTDRIVE DIFFERENTIAL,Mitnehmer Differential,8.9796999999999993,EUR,4944925040719
A2240,WHEEL HUB (4mm),Sechskant Radmitnehmer (4mm),10.78,EUR,4944925040726
A2241,WHEEL HUB SCREW,Spezialschraube Sechskant Radmitnehmer,4.34,EUR,4944925040733
A2242,BELT,Zahnriemen 351,3.6720999999999999,EUR,4944925040740
A2242a,Zahnriemen 351,Zahnriemen 351,3.6720999999999999,EUR
A2243,DIFFERENTIAL SET,Differential Komplettset,58.308399999999999,EUR,4944925040757
A2244,20T PULLEY FWD,Riemenrad 20Z,12.057499999999999,EUR,4944925040740
